,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
328,AA,354,ORD,LGA,,,125.0,0
329,XE,5890,CLE,ORD,,635.0,,0
330,WN,155,SFO,SAN,,,,1
331,DL,2695,DCA,MIA,,,159.0,1
332,US,948,CLT,CLE,3.0,1189.0,97.0,1
333,YV,7290,IAD,ORF,,,61.0,0
334,UA,605,DCA,ORD,4.0,465.0,,1
335,FL,964,ATL,ACY,,923.0,116.0,1
336,XE,2496,IAH,SDF,4.0,,,0
337,OO,3116,MKE,CAK,4.0,,77.0,1
338,DL,1616,DEN,ATL,,,,0
339,DL,2567,DTW,ORD,4.0,1040.0,,1
340,FL,618,MKE,MSY,2.0,840.0,,0
341,AA,1433,MIA,MSY,5.0,,130.0,0
342,US,1458,CLT,JFK,2.0,,114.0,0
343,UA,956,ORD,BWI,,,113.0,0
344,DL,2241,BOI,SLC,3.0,,,0
345,UA,287,PVD,ORD,,,,1
346,CO,1527,BWI,IAH,6.0,895.0,214.0,1
347,OH,6334,RDU,JFK,,420.0,116.0,0
348,CO,733,LGA,IAH,,,240.0,0
349,AA,1034,DEN,DFW,4.0,,,0
350,CO,1,IAH,HNL,,,,0
351,DL,2383,ATL,JAX,,,,1
352,OO,6352,BOI,SFO,,,105.0,0
353,FL,372,ATL,LGA,,,128.0,0
354,WN,795,OKC,HOU,2.0,1075.0,80.0,1
355,DL,519,DEN,MSP,,375.0,129.0,0
356,US,938,RSW,CLT,1.0,,111.0,1
357,AA,349,FLL,DFW,7.0,950.0,195.0,0
358,OO,3067,STL,MKE,,745.0,77.0,1
359,WN,823,BOS,MDW,,1010.0,,1
360,MQ,4605,RDU,LGA,,980.0,95.0,0
361,9E,3722,PWM,DTW,,,,1
362,US,1596,PHL,MHT,5.0,965.0,80.0,0
363,XE,2412,IAH,OKC,,,88.0,0
364,FL,27,MDW,ATL,2.0,711.0,109.0,0
365,WN,2091,HOU,STL,5.0,855.0,,1
366,US,1024,SJU,PHL,,,,1
367,US,454,BWI,PHX,,,,0
368,F9,428,DEN,ATL,2.0,,,1
369,MQ,2944,MAF,DFW,,1105.0,70.0,0
370,AA,874,ORD,BOS,3.0,1150.0,,0
371,9E,3912,ICT,MEM,1.0,,,0
372,WN,3318,SMF,SAN,4.0,865.0,,1
373,F9,130,DEN,DFW,,,112.0,0
374,US,656,PHX,SNA,6.0,,80.0,0
375,EV,5314,PHF,ATL,,464.0,,0
376,AA,133,JFK,LAX,,930.0,390.0,1
377,DL,1441,ATL,LIT,4.0,,96.0,1
378,EV,5464,OMA,DTW,7.0,,119.0,0
379,WN,42,DAL,LBB,3.0,1070.0,65.0,1
380,WN,1096,SMF,LAS,5.0,770.0,,1
381,EV,5226,AVL,ATL,,597.0,63.0,1
382,AA,374,TUS,ORD,,410.0,205.0,0
383,OO,7774,SGU,SLC,,1078.0,,0
384,AA,2301,ORD,DFW,1.0,360.0,,1
385,MQ,3750,MSP,ORD,,1175.0,,0
386,XE,5971,GRB,ORD,,555.0,60.0,0
387,9E,3804,CLE,ATL,3.0,335.0,,0
388,XE,2464,RIC,EWR,1.0,630.0,75.0,0
389,WN,1013,DEN,MDW,4.0,1075.0,,0
390,AS,474,SEA,LAX,,,157.0,0
391,WN,2361,HOU,PHX,3.0,435.0,,1
392,9E,4373,LSE,DTW,,,102.0,0
393,OO,4553,LAX,LAS,5.0,,70.0,0
394,DL,2685,LGA,MCO,3.0,415.0,170.0,0
395,EV,7134,DTW,IAD,,1160.0,90.0,0
396,CO,438,EWR,MIA,,,210.0,0
397,9E,3889,ORD,ATL,,,132.0,1
398,MQ,3711,ORD,LIT,,910.0,115.0,1
399,DL,2779,LGA,FLL,3.0,,,0
400,AA,728,LAS,DFW,,,160.0,1
401,WN,1489,MSY,DAL,4.0,,90.0,1
402,UA,836,ORD,BOS,5.0,,136.0,0
403,DL,1222,SLC,ATL,,,219.0,0
404,WN,740,LAS,STL,5.0,795.0,190.0,1
405,9E,4334,JAX,CVG,5.0,960.0,,0
406,WN,1653,BWI,BHM,,620.0,,1
407,OH,6425,MSP,CVG,1.0,910.0,,0
408,WN,2640,TPA,CMH,3.0,,,0
409,UA,36,OGG,SFO,1.0,,,0
410,WN,1328,ONT,SMF,,1235.0,80.0,1
411,OO,7027,DEN,SLC,,921.0,85.0,0
412,B6,291,SEA,LGB,,638.0,,0
413,WN,614,IND,BWI,2.0,,,0
414,OO,6479,LIT,DEN,,,,1
415,WN,553,DAL,TUL,3.0,1255.0,55.0,1
416,WN,903,LAX,LAS,,,,1
417,FL,1495,MCI,MCO,1.0,818.0,158.0,0
418,UA,794,ORD,BUF,7.0,,,1
419,UA,962,CMH,DEN,5.0,938.0,,0
420,CO,767,IAH,SEA,3.0,900.0,281.0,1
421,US,1270,PHL,BOS,4.0,,,0
422,YV,7212,ROC,IAD,7.0,,,1
423,MQ,3374,CVG,DFW,,795.0,165.0,0
424,B6,30,JFK,ROC,,,,1
425,EV,5556,BTR,ATL,,,,0
426,UA,622,ORD,DCA,,,111.0,0
427,OH,6266,IAD,DTW,,573.0,,1
428,WN,1339,MCO,MCI,5.0,520.0,185.0,0
429,DL,1130,MEM,ATL,2.0,940.0,84.0,1
430,WN,644,LAS,BUR,7.0,895.0,,1
431,DL,1447,LGA,ATL,,360.0,167.0,0
432,OO,6843,CWA,ORD,3.0,,,0
433,WN,2219,SMF,ONT,6.0,1100.0,75.0,0
434,MQ,2863,DFW,CVG,7.0,740.0,,1
435,DL,1721,DTW,TPA,,1190.0,,0
436,UA,405,LGA,DEN,,,272.0,1
437,US,238,PHX,DTW,,55.0,225.0,1
438,FL,1134,ROC,TPA,,460.0,,1
439,WN,973,DEN,BNA,3.0,,,1
440,WN,866,ABQ,DEN,,,,1
441,XE,2179,PNS,IAH,,,,0
442,WN,1992,SAT,PHX,4.0,515.0,150.0,0
443,OO,6965,AVL,ORD,3.0,361.0,,0
444,WN,1610,ORF,TPA,5.0,,135.0,1
445,AS,633,PHX,SEA,7.0,,,0
446,9E,4314,DTW,ORF,,420.0,,0
447,WN,3934,TPA,PHL,2.0,,155.0,1
448,DL,1792,SAN,ATL,,1365.0,,1
449,EV,4959,ATL,ABY,7.0,1236.0,,1
450,FL,446,ATL,MSY,3.0,807.0,89.0,1
451,UA,625,DCA,ORD,,1005.0,136.0,0
452,US,948,CLT,CLE,3.0,,97.0,0
453,OH,6310,BNA,CVG,,,,0
454,OO,7794,SLC,SUN,,1005.0,,0
455,FL,507,MKE,LGA,,590.0,,0
456,OO,4801,IAH,SLC,3.0,,195.0,1
457,WN,982,PVD,PHL,,,85.0,0
458,WN,20,BWI,HOU,5.0,465.0,225.0,0
459,MQ,3301,DFW,SGF,,1350.0,70.0,0
460,FL,727,MKE,DFW,,540.0,145.0,0
461,EV,5345,ATL,SHV,,,113.0,0
462,UA,540,SFO,IAD,4.0,,,0
463,US,1856,MCO,CLT,,525.0,96.0,0
464,US,1208,SAN,PHX,,,,1
465,WN,3753,SFO,LAS,,,,1
466,US,567,PHX,MCO,,,,1
467,OO,6332,EUG,PDX,,974.0,37.0,1
468,EV,5187,LEX,ATL,3.0,616.0,88.0,0
469,AS,191,ANC,FAI,3.0,1140.0,,0
470,US,1416,LAX,PHL,,,298.0,1
471,FL,79,ATL,FLL,6.0,,105.0,1
472,DL,2940,OAK,SLC,,,,0
473,YV,2907,PHX,GJT,,,,1
474,US,1124,CLT,LGA,,1205.0,110.0,0
475,DL,2077,BDL,DTW,,,,0
476,AA,1352,AUS,DFW,5.0,,65.0,0
477,DL,1599,ATL,PIT,,1319.0,109.0,0
478,MQ,4253,ORD,ICT,2.0,480.0,,0
479,AA,447,CLT,DFW,4.0,,185.0,1
480,WN,793,MDW,JAN,,,120.0,1
481,AA,161,LAX,OGG,,,,0
482,WN,134,DEN,TPA,3.0,,210.0,1
483,WN,156,MDW,BWI,3.0,,,0
484,MQ,3745,ORD,PHL,3.0,980.0,,0
485,WN,844,RDU,BNA,7.0,670.0,,0
486,AA,2029,LGA,MIA,7.0,479.0,195.0,1
487,B6,1292,PIT,BOS,2.0,,93.0,1
488,9E,4388,IAD,DTW,5.0,,,0
489,AA,1017,STL,DFW,,1130.0,115.0,1
490,9E,4296,MEM,GPT,,875.0,,0
491,CO,1849,FLL,IAH,1.0,,,0
492,XE,2576,IAH,BHM,7.0,660.0,94.0,0
493,WN,1995,DAL,LIT,7.0,,60.0,0
494,OO,6945,DEN,OKC,,847.0,89.0,0
495,B6,443,BOS,TPA,,507.0,,1
496,WN,139,LGA,BWI,4.0,,75.0,1
497,WN,1122,DEN,OAK,,515.0,175.0,0
498,WN,1814,MSY,MCO,,995.0,,1
499,WN,1745,SEA,DEN,,420.0,160.0,1
500,AA,1965,DFW,SFO,,535.0,240.0,1
501,MQ,3045,DEN,LAX,7.0,950.0,150.0,0
502,AA,1430,DFW,TPA,,475.0,135.0,1
503,OH,6763,JFK,SYR,5.0,910.0,86.0,0
504,MQ,4014,ORD,IND,,,,0
505,F9,674,DEN,MCO,,,,1
506,OO,6554,DEN,FAR,3.0,,,1
507,YV,1023,HNL,KOA,7.0,545.0,,0
508,AA,1789,ICT,DFW,4.0,400.0,85.0,0
509,MQ,3395,DFW,BTR,7.0,,75.0,0
510,DL,2438,ATL,DCA,,680.0,106.0,1
511,DL,2201,BOS,ATL,5.0,1035.0,,1
512,DL,1661,DTW,ATL,,370.0,136.0,1
513,US,482,DEN,PHL,,675.0,,0
514,9E,4111,BGM,DTW,,,100.0,1
515,9E,3880,MEM,LEX,,525.0,,0
516,EV,5281,ATL,CAK,,,101.0,1
517,US,930,CLT,ORF,,1186.0,64.0,0
518,AS,104,ANC,SEA,1.0,,202.0,0
519,US,2131,BOS,LGA,,840.0,77.0,0
520,MQ,2816,MHK,DFW,7.0,460.0,100.0,0
521,OO,6229,SFO,AUS,2.0,1131.0,203.0,1
522,US,1766,CLT,DCA,3.0,,80.0,0
523,OO,4747,LAX,LAS,3.0,,69.0,0
524,WN,1006,DEN,ABQ,2.0,,,1
525,WN,2026,SJC,SNA,1.0,660.0,75.0,1
526,EV,5498,GSO,ATL,5.0,,104.0,0
527,MQ,4130,MDT,ORD,,995.0,135.0,1
528,B6,1323,BOS,BWI,6.0,600.0,,1
529,WN,987,SNA,OAK,,475.0,,0
530,WN,2418,MCO,IND,5.0,650.0,,0
531,WN,802,PHX,MSP,,1120.0,,0
532,WN,2049,SAN,SJC,4.0,1130.0,80.0,0
533,US,1702,TPA,CLT,,,,0
534,UA,272,SFO,LAX,5.0,,87.0,0
535,US,1406,PHL,BOS,,,,1
536,DL,41,MSP,LAX,7.0,1170.0,,1
537,9E,4009,IND,MSP,7.0,,,1
538,DL,2269,ATL,MCO,,720.0,85.0,1
539,AA,4,LAX,JFK,5.0,745.0,335.0,0
540,XE,2638,EWR,MHT,,645.0,79.0,0
541,UA,309,MCO,DEN,,,252.0,1
542,MQ,4091,ORD,BNA,,,90.0,1
543,MQ,3823,MSP,ORD,5.0,780.0,95.0,1
544,MQ,4074,XNA,ORD,3.0,,,0
